Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.837,74.808,74.808,74.808,74.808,74.808,74.886,74.886,74.886,74.886,74.992,75.002,75.002,75.002,75.002,75.069,75.069,75.031,74.954,74.954,74.954,74.847,74.837,74.837,74.799,74.925,74.915,74.595
,74.847,74.847,74.847,74.847,74.847,74.847,74.847,74.847,74.847,74.954,74.992,74.992,74.992,74.992,74.992,75.069,75.069,74.963,74.954,74.954,74.954,74.847,74.847,74.741,74.692,74.625,74.615,74.557
,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.886,74.925,74.857,74.886,74.934,74.915,74.925,74.915,74.915,74.915,74.808,74.799,74.760,74.625,74.634,74.402,74.411,74.353
,74.654,74.789,74.712,74.741,74.876,74.876,74.770,74.799,74.828,74.828,74.828,74.828,74.828,74.779,74.750,74.779,74.712,74.741,74.770,74.673,74.547,74.469,74.460,74.334,74.246,74.052,73.945,73.740
,74.431,74.654,74.528,74.605,74.760,74.673,74.654,74.605,74.663,74.586,74.499,74.518,74.537,74.450,74.363,74.372,74.285,74.227,74.237,74.032,73.925,73.945,73.925,73.925,73.721,73.184,72.428,71.758
,73.623,74.091,74.275,74.372,74.402,74.324,74.237,74.217,74.101,73.984,73.906,73.838,73.731,73.399,73.291,73.282,73.145,72.713,72.379,71.807,71.362,71.402,71.857,71.936,71.610,69.838,67.168,65.006,

Frame 5,61.644,63.388,65.120,66.841,68.327,69.808,70.955,71.877,72.576,73.164,73.633,73.984,74.110,74.334,74.499,74.692,74.644,74.760,74.760,74.770,74.886,74.837,74.731,74.741,74.702,74.663,74.566,74.537
,71.936,72.487,72.919,73.340,73.643,73.935,74.217,74.305,74.402,74.499,74.702,74.760,74.770,74.876,74.876,74.934,74.896,74.896,74.963,74.973,74.867,74.905,74.896,74.857,74.779,74.692,74.625,74.654
,74.334,74.324,74.411,74.576,74.576,74.683,74.789,74.789,74.789,74.789,74.857,74.867,74.876,74.886,74.925,75.031,74.954,74.963,74.973,74.934,74.876,74.876,74.876,74.876,74.876,74.876,74.837,74.673
,74.760,74.760,74.750,74.818,74.828,74.876,74.886,74.847,74.915,74.925,74.934,74.896,75.002,74.963,74.973,75.079,75.011,75.079,75.050,74.954,74.905,74.905,74.905,74.905,74.905,75.011,75.021,74.615
,74.750,74.857,74.857,74.867,74.867,74.867,74.867,74.867,74.867,74.925,74.925,74.925,74.925,75.031,75.040,75.060,75.069,74.983,74.973,74.954,74.954,74.954,74.847,74.779,74.721,74.954,74.963,74.615
,74.818,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.963,74.963,74.963,74.963,74.963,74.963,74.963,74.963,75.069,75.002,75.002,74.896,74.944,74.915,74.828,74.760,74.673,74.673,74.683,74.566
,74.750,74.837,74.837,74.837,74.944,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.789,74.779,74.721,74.663,74.547,74.382,74.382,74.324
