Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,220.244,220.244,220.166,220.229,220.291,220.088,220.025,220.103,220.103,220.307,220.541,220.557,220.401,220.213,220.088,220.088,219.680,219.272,218.864,218.660,218.140
,219.272,219.335,219.194,219.115,218.943,218.613,218.613,218.550,218.329,217.825,217.589,216.989,216.356,215.515,214.689,213.508,211.971,209.990,207.980,207.329,207.508,

Frame 3,191.919,197.156,201.888,206.121,209.456,212.131,214.163,215.769,217.162,218.345,219.445,220.135,220.604,221.400,221.696,221.914,222.117,222.117,221.774,221.572,221.447
,214.689,215.737,216.562,217.162,217.951,218.518,219.068,219.523,220.025,220.729,221.229,221.650,221.899,222.319,222.552,222.583,222.490,222.614,222.428,222.319,221.899
,218.487,218.597,218.896,219.178,219.445,219.712,220.135,220.354,220.776,221.197,221.728,222.241,222.459,222.677,222.692,222.816,222.910,222.894,222.863,222.521,222.055
,219.586,219.602,219.602,219.806,220.009,220.416,220.620,220.932,221.135,221.603,222.023,222.350,222.568,222.692,222.754,222.987,222.925,222.925,222.925,222.723,222.226
,220.103,220.056,220.056,220.197,220.338,220.557,220.760,221.073,221.275,221.743,222.163,222.288,222.521,222.614,222.739,222.941,222.941,222.941,222.941,222.723,222.350
,220.260,220.354,220.369,220.291,220.338,220.557,220.760,221.073,221.478,221.868,222.288,222.614,222.661,222.677,222.941,222.987,222.987,222.987,222.785,222.599,222.132
,220.369,220.307,220.510,220.573,220.588,220.526,220.526,221.088,221.478,221.665,222.132,222.288,222.397,222.506,222.801,222.910,222.708,222.490,222.350,222.008,221.587
,220.322,220.369,220.463,220.463,220.463,220.463,220.463,220.885,221.135,221.369,221.681,221.883,222.039,221.992,222.148,222.117,221.681,221.650,221.213,220.776,220.541
,220.244,220.244,220.056,220.307,220.354,219.994,220.103,220.150,220.056,220.338,220.698,220.541,220.322,220.166,220.244,220.009,219.821,219.382,218.990,218.581,218.172
,219.100,219.288,219.225,219.115,218.943,218.675,218.613,218.471,218.329,217.936,217.399,216.989,216.150,215.547,214.959,213.524,211.858,209.957,208.240,207.345,207.492,

Frame 4,192.005,197.038,201.771,206.219,209.553,212.019,214.258,215.864,217.052,218.140,219.429,220.103,220.760,221.400,221.650,221.743,221.805,221.961,221.821,221.712,221.572
,214.561,215.610,216.641,217.241,217.825,218.597,219.147,219.680,219.931,220.588,221.447,221.696,221.930,222.179,222.257,222.381,222.350,222.443,222.475,222.257,222.008
,218.439,218.707,218.974,219.225,219.476,219.915,220.244,220.479,220.698,221.213,221.883,222.179,222.490,222.583,222.739,222.956,222.847,222.754,222.847,222.583,222.086
,219.492,219.523,219.555,219.790,220.229,220.463,220.494,220.823,221.244,221.556,222.195,222.319,222.521,222.630,222.956,222.910,223.080,223.096,222.987,222.677,222.350
,219.837,219.978,219.962,220.307,220.322,220.432,220.729,220.963,221.385,221.774,222.303,222.459,222.459,222.770,222.987,223.003,223.049,223.003,222.972,222.661,222.335
,220.338,220.354,220.322,220.338,220.401,220.635,220.870,221.104,221.525,222.008,222.210,222.506,222.770,222.910,223.003,223.003,223.003,223.003,223.003,222.661,221.977
,220.416,220.416,220.416,220.620,220.620,220.776,220.807,221.041,221.463,221.743,221.992,222.132,222.428,222.614,222.754,222.801,222.847,222.490,222.303,222.086,221.463
,220.416,220.416,220.416,220.416,220.620,220.510,220.651,220.948,221.353,221.494,221.603,221.790,221.930,221.961,222.132,222.257,222.086,221.463,221.244,221.041,220.635
