Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.663,74.683,74.721,74.625,74.731,74.741,74.741,74.702,74.702,74.808,74.876,74.886,74.837,74.847,74.847,74.954,74.925,74.905,74.905,74.876,74.847,74.818,74.818,74.712,74.741,74.847,74.915
,74.634,74.634,74.721,74.770,74.779,74.779,74.779,74.779,74.779,74.779,74.876,74.876,74.876,74.876,74.876,74.954,74.954,74.954,74.847,74.886,74.779,74.818,74.779,74.731,74.673,74.808,74.828
,74.741,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.876,74.876,74.876,74.876,74.876,74.954,74.954,74.954,74.847,74.847,74.789,74.789,74.789,74.731,74.615,74.547,74.547
,74.692,74.692,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.876,74.876,74.770,74.818,74.760,74.828,74.876,74.750,74.760,74.741,74.750,74.644,74.625,74.566,74.508,74.411,74.285
,74.644,74.644,74.644,74.760,74.760,74.654,74.692,74.731,74.731,74.731,74.731,74.731,74.625,74.663,74.566,74.634,74.673,74.576,74.625,74.557,74.450,74.353,74.334,74.275,74.110,73.886,73.877
,74.237,74.382,74.334,74.469,74.566,74.566,74.537,74.508,74.547,74.479,74.305,74.314,74.266,74.101,74.081,74.169,74.101,74.052,73.994,73.964,73.731,73.789,73.789,73.760,73.633,73.370,72.615
,73.115,73.633,73.906,74.169,74.178,74.110,74.042,73.974,74.003,73.877,73.721,73.770,73.545,73.282,73.027,73.037,72.939,72.546,72.232,71.718,71.233,70.796,71.025,71.263,71.461,70.677,68.327,

Frame 7,71.728,72.340,72.831,73.203,73.565,73.701,74.042,74.159,74.285,74.402,74.518,74.576,74.586,74.692,74.692,74.760,74.828,74.799,74.808,74.808,74.818,74.760,74.741,74.702,74.750,74.692,74.605
,74.139,74.246,74.353,74.450,74.508,74.586,74.721,74.721,74.721,74.721,74.712,74.818,74.818,74.818,74.818,74.886,74.886,74.925,74.779,74.779,74.779,74.779,74.779,74.779,74.779,74.779,74.712
,74.634,74.625,74.721,74.605,74.663,74.721,74.721,74.721,74.721,74.828,74.818,74.818,74.818,74.818,74.925,74.925,74.925,74.925,74.925,74.886,74.847,74.808,74.808,74.702,74.741,74.915,74.925
,74.654,74.683,74.731,74.779,74.731,74.731,74.731,74.731,74.731,74.828,74.828,74.828,74.828,74.828,74.828,74.925,74.925,74.925,74.925,74.818,74.847,74.847,74.741,74.702,74.673,74.750,74.867
,74.770,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.828,74.828,74.828,74.828,74.828,74.828,74.925,75.031,74.886,74.847,74.818,74.818,74.818,74.741,74.741,74.673,74.547,74.528
